commodity_id,src,peer,theory_rate_kps,theory_t_saturate_seconds
dkms-711->dkms-714,dkms-711,dkms-714,291.253686,225.013461
dkms-711->dkms-717,dkms-711,dkms-717,158.865647,412.524679
dkms-711->dkms-720,dkms-711,dkms-720,648.701392,101.026452
dkms-711->dkms-723,dkms-711,dkms-723,49.645515,1320.078973
dkms-711->dkms-726,dkms-711,dkms-726,49.645515,1320.078973
dkms-711->dkms-729,dkms-711,dkms-729,49.645515,1320.078973
dkms-711->dkms-732,dkms-711,dkms-732,49.645515,1320.078973
dkms-714->dkms-711,dkms-714,dkms-711,291.253686,225.013461
dkms-714->dkms-717,dkms-714,dkms-717,158.865647,412.524679
dkms-714->dkms-720,dkms-714,dkms-720,291.253686,225.013461
dkms-714->dkms-723,dkms-714,dkms-723,49.645515,1320.078973
dkms-714->dkms-726,dkms-714,dkms-726,49.645515,1320.078973
dkms-714->dkms-729,dkms-714,dkms-729,49.645515,1320.078973
dkms-714->dkms-732,dkms-714,dkms-732,49.645515,1320.078973
dkms-717->dkms-711,dkms-717,dkms-711,158.865647,412.524679
dkms-717->dkms-714,dkms-717,dkms-714,158.865647,412.524679
dkms-717->dkms-720,dkms-717,dkms-720,516.313353,126.930670
dkms-717->dkms-723,dkms-717,dkms-723,49.645515,1320.078973
dkms-717->dkms-726,dkms-717,dkms-726,49.645515,1320.078973
dkms-717->dkms-729,dkms-717,dkms-729,49.645515,1320.078973
dkms-717->dkms-732,dkms-717,dkms-732,49.645515,1320.078973
dkms-720->dkms-711,dkms-720,dkms-711,648.701392,101.026452
dkms-720->dkms-714,dkms-720,dkms-714,158.865647,412.524679
dkms-720->dkms-717,dkms-720,dkms-717,516.313353,126.930670
dkms-720->dkms-723,dkms-720,dkms-723,49.645515,1320.078973
dkms-720->dkms-726,dkms-720,dkms-726,49.645515,1320.078973
dkms-720->dkms-729,dkms-720,dkms-729,49.645515,1320.078973
dkms-720->dkms-732,dkms-720,dkms-732,49.645515,1320.078973
dkms-723->dkms-711,dkms-723,dkms-711,49.645515,1320.078973
dkms-723->dkms-714,dkms-723,dkms-714,49.645515,1320.078973
dkms-723->dkms-717,dkms-723,dkms-717,49.645515,1320.078973
dkms-723->dkms-720,dkms-723,dkms-720,49.645515,1320.078973
dkms-723->dkms-726,dkms-723,dkms-726,158.865647,412.524679
dkms-723->dkms-729,dkms-723,dkms-729,158.865647,412.524679
dkms-723->dkms-732,dkms-723,dkms-732,516.313353,126.930670
dkms-726->dkms-711,dkms-726,dkms-711,49.645515,1320.078973
dkms-726->dkms-714,dkms-726,dkms-714,49.645515,1320.078973
dkms-726->dkms-717,dkms-726,dkms-717,49.645515,1320.078973
dkms-726->dkms-720,dkms-726,dkms-720,49.645515,1320.078973
dkms-726->dkms-723,dkms-726,dkms-723,158.865647,412.524679
dkms-726->dkms-729,dkms-726,dkms-729,291.253686,225.013461
dkms-726->dkms-732,dkms-726,dkms-732,158.865647,412.524679
dkms-729->dkms-711,dkms-729,dkms-711,49.645515,1320.078973
dkms-729->dkms-714,dkms-729,dkms-714,49.645515,1320.078973
dkms-729->dkms-717,dkms-729,dkms-717,49.645515,1320.078973
dkms-729->dkms-720,dkms-729,dkms-720,49.645515,1320.078973
dkms-729->dkms-723,dkms-729,dkms-723,158.865647,412.524679
dkms-729->dkms-726,dkms-729,dkms-726,291.253686,225.013461
dkms-729->dkms-732,dkms-729,dkms-732,648.701392,101.026452
dkms-732->dkms-711,dkms-732,dkms-711,49.645515,1320.078973
dkms-732->dkms-714,dkms-732,dkms-714,49.645515,1320.078973
dkms-732->dkms-717,dkms-732,dkms-717,49.645515,1320.078973
dkms-732->dkms-720,dkms-732,dkms-720,49.645515,1320.078973
dkms-732->dkms-723,dkms-732,dkms-723,516.313353,126.930670
dkms-732->dkms-726,dkms-732,dkms-726,291.253686,225.013461
dkms-732->dkms-729,dkms-732,dkms-729,648.701392,101.026452
